CustomerId,Surname,CreditScore,Geography,Gender,Age,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,baseDate,accountOpeningDate
15758836,Godfrey,675,Spain,Male,36,54098.18,2,0,1,54478.52,2/1/2026,11/23/2022
15610446,Chinedum,714,France,Female,51,88308.87,3,0,0,5862.53,2/1/2026,7/2/2021
15695632,Dellucci,556,France,Female,39,89588.35,1,1,1,94898.1,2/1/2026,8/6/2016
15719309,Stephens,670,France,Female,42,115961.58,2,0,1,29483.87,2/1/2026,10/12/2024
15599268,Yobachi,584,Spain,Male,32,0,2,1,0,10956.82,2/1/2026,3/20/2020
15805112,Pokrovsky,578,France,Male,38,82259.29,1,1,0,8996.97,2/1/2026,5/3/2018
15769312,Forbes,557,Spain,Male,48,0,2,1,1,185094.48,2/1/2026,8/29/2015
15706021,Buley,665,France,Female,34,96645.54,2,0,0,171413.66,2/1/2026,8/11/2024
15570417,Chien,579,France,Male,35,0,2,1,0,4460.2,2/1/2026,10/19/2024
15743532,Ball,704,Germany,Male,27,147004.34,1,1,0,64381.33,2/1/2026,10/21/2020
15701555,Nicholls,575,Spain,Male,53,84903.33,2,0,1,26015.8,2/1/2026,2/7/2024
15738191,Maclean,577,France,Male,25,0,2,0,1,124508.29,2/1/2026,6/11/2022
15756026,Hooper,790,Spain,Female,46,0,1,0,0,14679.81,2/1/2026,7/10/2016
15777211,Herrera,515,France,Male,65,92113.61,1,1,1,142548.33,2/1/2026,11/3/2018
15731327,Hale,652,Germany,Male,27,166527.88,2,0,1,146007.7,2/1/2026,7/28/2023
15750649,Uwakwe,744,France,Female,44,0,2,1,1,189016.14,2/1/2026,10/28/2022
15743192,Hung,623,France,Female,44,0,2,0,0,167162.43,2/1/2026,9/19/2019
15693864,Iheanacho,567,Germany,Female,49,134956.02,1,1,0,93953.84,2/1/2026,1/9/2021
15813844,Barnes,703,France,Male,37,105961.68,2,0,1,74158.8,2/1/2026,2/28/2017
15752300,Sagese,607,Germany,Male,47,148826.32,1,1,1,79450.61,2/1/2026,9/10/2021
15607347,Olisaemeka,734,France,Male,22,130056.23,1,0,0,121894.31,2/1/2026,11/4/2020
15575024,Uwaezuoke,503,France,Male,29,0,2,1,1,143954.99,2/1/2026,3/29/2022
15623277,Ross,696,France,Female,30,0,2,1,1,196134.44,2/1/2026,1/24/2018
15640268,Avdeeva,652,Spain,Male,71,0,1,1,1,120107.1,2/1/2026,10/25/2021
15581539,Atkinson,474,Spain,Male,37,0,2,0,0,57175.32,2/1/2026,9/10/2022
15763218,Akeroyd,661,France,Female,41,0,2,0,1,131300.68,2/1/2026,4/16/2024
15594084,Anderson,524,France,Male,22,0,2,1,0,74405.34,2/1/2026,3/15/2016
15786993,Lung,810,France,Female,51,0,2,0,1,184524.74,2/1/2026,2/12/2020
15633897,Owen,725,Germany,Male,39,50880.98,2,1,1,184023.54,2/1/2026,2/19/2024
15588350,McIntyre,744,France,Female,43,147832.15,1,0,1,24234.11,2/1/2026,5/31/2015
15697441,Hsueh,485,,Male,29,182123.79,1,1,0,116828.51,2/1/2026,3/23/2018
