CustomerId,Surname,CreditScore,Geography,Gender,Age,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,baseDate,accountOpeningDate
15649487,Sal,578,Germany,Female,38,113150.44,2,1,0,176712.59,1,2/1/2026,4/6/2021
15694272,Nkemakolam,673,France,Male,30,64097.75,1,1,1,77783.35,0,2/1/2026,11/28/2024
15805955,L?,638,France,Female,48,138333.03,1,1,1,,0,2/1/2026,12/8/2015
15676242,Artemova,632,Spain,Male,31,136556.44,1,1,0,82152.83,1,2/1/2026,5/2/2022
15756820,Fleming,655,France,Female,26,106198.5,1,0,1,32020.42,0,2/1/2026,10/30/2018
15609824,Fedorov,794,France,Female,41,176845.41,3,1,0,166526.26,1,2/1/2026,10/10/2018
15651585,Power,661,Germany,Male,35,117212.18,1,1,1,83052.03,0,2/1/2026,10/18/2023
15759038,Whitehead,793,France,Female,41,141806.46,1,1,0,102921.17,0,2/1/2026,2/21/2022
15601848,Scott,594,,Male,35,0,2,1,0,103480.69,0,2/1/2026,8/12/2023
15760550,Duncan,741,Spain,Male,39,143637.58,2,0,1,174227.66,0,2/1/2026,11/21/2018
15696637,Sung,571,France,Female,23,151097.28,1,0,1,17163.75,0,2/1/2026,3/4/2015
15683471,Hansen,691,France,Male,38,0,2,0,0,81617.4,0,2/1/2026,3/1/2018
15682472,Culbreth,828,France,Male,34,129433.34,2,0,0,38131.77,0,2/1/2026,4/14/2017
15600724,Scott,567,Germany,Male,29,129750.68,1,1,0,109257.59,0,2/1/2026,12/9/2020
15775905,Moore,612,Germany,Female,47,130024.87,1,1,1,45750.21,1,2/1/2026,9/17/2019
15574012,Chu,645,,Male,44,113755.78,2,1,0,,1,2/1/2026,9/18/2017
15589475,Azikiwe,591,,Female,39,0,3,1,0,140469.38,1,2/1/2026,8/12/2022
15706163,Enyinnaya,518,Germany,Male,46,113625.93,1,0,0,92727.42,1,2/1/2026,8/12/2021
15655774,Booth,583,France,Male,27,0,2,1,0,51285.49,0,2/1/2026,3/20/2018
15644200,Hamilton,807,Spain,Female,42,0,1,1,0,16500.66,1,2/1/2026,12/4/2024
15675316,Avdeeva,619,,Female,38,0,2,0,1,116467.35,0,2/1/2026,2/26/2022
15782468,Hart,850,Spain,Male,51,109799.55,2,1,1,12457.76,1,2/1/2026,11/26/2022
15709117,Fanucci,823,Spain,Female,46,81576.75,1,1,1,28370.95,1,2/1/2026,1/2/2023
15680855,Iloabuchi,637,France,Male,33,145731.83,1,0,1,109219.43,0,2/1/2026,1/9/2024
15621893,Bellucci,727,France,Male,18,133550.67,1,1,1,46941.41,0,2/1/2026,6/9/2021
15707473,Summers,850,Germany,Female,48,111962.99,1,1,0,111755.8,0,2/1/2026,4/7/2019
15736879,Obinna,669,France,Male,23,0,2,0,0,66088.83,0,2/1/2026,2/14/2024
15806926,Watson,615,France,Female,35,97440.02,2,1,1,,0,2/1/2026,12/31/2023
15631868,Robertson,744,Spain,Male,36,153804.44,1,1,1,87213.33,0,2/1/2026,5/9/2023
15727384,Chukwuemeka,705,Germany,Female,43,146547.78,1,0,1,10072.55,1,2/1/2026,10/4/2015
15657139,Otutodilinna,652,France,Female,40,84390.8,2,0,1,107876.2,0,2/1/2026,2/26/2017
15593365,Shih,762,Spain,Male,39,81273.13,1,1,1,18719.67,0,2/1/2026,5/19/2023
15812198,Chen,543,Germany,Male,48,100900.5,1,0,0,33310.72,1,2/1/2026,2/23/2024
15731511,Ritchie,808,France,Male,45,118626.55,2,1,0,147132.46,0,2/1/2026,4/14/2018
15607381,King,769,Germany,Female,31,148913.72,2,1,0,53817.23,0,2/1/2026,11/5/2018
15694821,Hardy,765,Germany,Male,43,148962.76,1,0,1,173878.87,1,2/1/2026,9/8/2021
15801488,Buckner,723,France,Male,25,0,2,1,1,134509.47,0,2/1/2026,4/16/2022
15724834,Wilson,498,France,Female,30,0,2,0,0,135795.53,0,2/1/2026,2/10/2024
15621210,Angelo,599,Germany,Male,46,123444.72,1,1,1,31368.08,1,2/1/2026,4/6/2016
15673619,Bazhenov,530,France,Male,25,162560.32,1,1,0,64129.03,0,2/1/2026,2/18/2016
15659486,Yudina,586,Germany,Male,34,74309.81,1,1,0,15034.93,0,2/1/2026,3/8/2016
15651052,McMasters,399,Germany,Male,46,127655.22,1,1,0,139994.68,1,2/1/2026,8/6/2023
15649136,Williamson,650,France,Female,43,0,2,1,1,16301.91,0,2/1/2026,8/2/2019
15674991,Kao,667,France,Male,42,0,2,0,1,58137.42,0,2/1/2026,4/30/2016
15813163,Ch'iu,531,Spain,Female,36,99240.51,1,1,0,123137.01,0,2/1/2026,1/9/2017
15775153,Buchi,630,Spain,Male,32,82034,1,0,0,146326.45,0,2/1/2026,5/31/2021
15783398,Rizzo,535,Spain,Female,49,115309.75,1,1,0,111421.77,0,2/1/2026,2/26/2018
15708212,Lin,648,Spain,Female,54,118241.02,1,1,0,172586.89,1,2/1/2026,5/27/2018
15812945,Padovesi,582,France,Female,29,0,1,1,1,84012.81,0,2/1/2026,8/7/2025
15585100,Rioux,511,Germany,Female,40,124401.6,1,1,0,198814.24,1,2/1/2026,2/10/2016
15767794,Browne,744,France,Male,31,120718.28,1,1,1,58961.49,0,2/1/2026,4/18/2016
15698619,Bowhay,593,France,Male,43,0,2,1,1,76357.43,0,2/1/2026,6/26/2016
15661036,Davis,725,France,Male,46,0,2,1,0,161767.38,0,2/1/2026,2/17/2019
15591257,Ejimofor,796,France,Male,24,0,2,1,0,,0,2/1/2026,7/7/2017
15665110,Helena,515,France,Female,25,79543.59,1,0,1,38772.82,0,2/1/2026,2/18/2018
15637753,O'Sullivan,751,Germany,Male,50,96888.39,1,1,0,77206.25,1,2/1/2026,5/30/2023
15758606,Yamamoto,738,France,Male,54,0,1,0,1,55725.04,1,2/1/2026,9/22/2021
15744582,Randall,680,France,Female,24,0,3,1,0,154971.63,1,2/1/2026,10/30/2015
15606149,Wood,571,Germany,Female,66,111577.01,1,0,1,189271.9,0,2/1/2026,12/24/2016
15756125,Booth,757,Spain,Male,44,140856.16,2,1,0,158735.1,0,2/1/2026,2/9/2020
15675964,Chukwukadibia,672,France,Female,45,0,1,1,1,92027.69,1,2/1/2026,1/26/2017
15710257,Matveyeva,625,France,Female,39,130786.92,1,0,1,121316.07,0,2/1/2026,9/23/2022
15780514,Fuller,707,France,Male,33,136678.52,1,1,0,54290.62,0,2/1/2026,10/26/2017
15710825,Ch'en,592,Spain,Male,31,110071.1,1,0,0,43921.36,0,2/1/2026,1/14/2019
